city,country,description,location,State,state_abbrev,longitude,latitude,city_longitude,city_latitude,Audio Evidence,Image/Video/Visual Evidence,Haunted Places Date,Haunted Places Witness Count,Time of Day,Apparition Type,Event Type,Deaths per Year,Average Potential Life Years Lost per Death,"Deaths per 10,000 Adults",Percentage of Adults who Binge Drink 1+ Times per Month,Median Drinks per Binge,Top 25% Drinks per Binge,Median Binge per Month,Top 25% Binge per Month,Increase in Alcohol Deaths per Capita from 2015 to 2019,Male Proportion of Deaths,Percent Deaths from Chronic Causes,Percent Deaths from Acute Causes,Percent Deaths 35+,Percent Deaths under 21,Years of Life Lost per Year,Taxpayer Cost in 2010 (billions),Inflation Adjusted Cost to 2022 (billions),Inflation Adjusted Per Drink (2022),avg_violent_crime,avg_murder_manslaughter,avg_property_crime,avg_temp_rank,avg_precip_rank,precip_category,"Top_6_Primary_Substances (Per 100,000)","Alcohol (Per 100,000)","Heroin (Per 100,000)","Methamphetamine (Per 100,000)","Other Opiates/Synthetics (Per 100,000)","Marijuana/Hashish (Per 100,000)","Cocaine (Per 100,000)",daylight_hours,Filename,Caption,Detected Objects_x,Entity Labels,Entity Texts,GeoTopic Name,GeoTopic Latitude,GeoTopic Longitude,Detected Objects_y
Salem,United States,Haunted by the spirits of civil war prisoners who were held there.,Salem Jail,Massachusetts,MA,-70.8973178,42.5232338,-70.8967155,42.51954,False,False,2025/01/01,0,Unknown,Ghost (Male),Supernatural,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0,11.83,Haunted_by_the_spirits_of_civil_war_prisoners_who.png,a black and white photo of a barn and a barn,"barn (0.48), church, church building (0.25), boathouse (0.06), prison, prison house (0.03), castle (0.02)",,,,,,"barn (0.48), church, church building (0.25), boathouse (0.06), prison, prison house (0.03), castle (0.02)"
Salem,United States,Bowditch Hall Room 222 - Known for the ghosts of all three roommates that were found murdered there in the 70's. Reports of beds shaking in the middle of the night and loud banging on the walls that can only be heard in that room.,Salem State College,Massachusetts,MA,-70.890682,42.503103,-70.8967155,42.51954,True,False,1854/03/13,1,Night,Ghost (Male),Murder,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0,11.83,Bowditch_Hall_Room_222___Known_for_the_ghosts_of_a.png,a black and white photo of a bathroom sink .,"prison, prison house (0.23), sliding door (0.14), window screen (0.14), window shade (0.12), shoji (0.07)","['ORG', 'CARDINAL', 'DATE']","['Bowditch Hall Room 222 - Known', 'three', '70']",,,,"prison, prison house (0.23), sliding door (0.14), window screen (0.14), window shade (0.12), shoji (0.07)"
Salem,United States,"Mainstage Auditorium - The ghost of a little Boy named Tommy is said by theater professors and students to haunt the auditorium. Tommy is supposedly the ghost of a child that got into the area above the auditorium one night during the '60's. He fell through a spot in the ceiling and was found dead in the seats of the auditorium by a professor the next day. Tommy still haunts the area above the auditorium, which has long been sealed up and used for storage. He is mischievous for the most part, making noises, moving things, and causing unexplainable problems in the theater. Technicians working on tall ladders swear they can feel Tommy putting a pressure on their backs. They claim that it is Tommy trying to prevent any one else from falling. December 2003 correction:The actual story is this: It was in the '70's when it happened, and the boy that fell wasn't a child, he was a teenager.The boy that died was named Tommy. Tommy and few other kids had been drinking and they snuck into the auditorium. They were fooling around, jumping on seats, rolling around on the stage, etc. When the kids where getting ready to leave, but they couldn't find Tommy. They figured that he had left and so they left. The next morning my dad got a call saying that his friend Tommy had fallen through the ceiling of the auditorium. He had fallen head first onto the floor and died on impact.",Salem State College,Massachusetts,MA,-70.890682,42.503103,-70.8967155,42.51954,True,False,1854/03/13,0,Morning,"Ghost (Male, student)",Accident,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0,11.83,Mainstage_Auditorium___The_ghost_of_a_little_Boy_n.png,a black and white photo of a group of people,"prison, prison house (0.45), bannister, banister, balustrade, balusters, handrail (0.03), library (0.03), vault (0.03)","['PERSON', 'PERSON', 'PERSON', 'TIME', 'DATE', 'PERSON', 'PERSON', 'PERSON', 'DATE', 'DATE', 'PERSON', 'PERSON', 'GPE', 'TIME', 'PERSON', 'ORDINAL']","['Mainstage Auditorium - The', 'Tommy', 'Tommy', 'one night', 'the next day', 'Tommy', 'Tommy', 'Tommy', 'December 2003', '70', 'Tommy', 'Tommy', 'Tommy', 'The next morning', 'Tommy', 'first']",,,,"prison, prison house (0.45), bannister, banister, balustrade, balusters, handrail (0.03), library (0.03), vault (0.03)"
Salem,United States,The old pool. The old pool was built above the original pool. Many lifeguards at the old pool have seen movements and heard noises by the stairwell leading to the old pool. It is rumored to be from a swimmer that died there.,Salem YMCA,Massachusetts,MA,-70.89769629999999,42.5217611,-70.8967155,42.51954,True,True,2025/01/01,1,Unknown,Unknown (Male),Death,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0,11.83,The_old_pool__The_old_pool_was_built_above_the_ori.png,a black and white photo of a kitchen,"pool table, billiard table, snooker table (0.99)",,,,,,"pool table, billiard table, snooker table (0.99)"
Salem,United States,is haunted by the ghosts of the evil Sheriff George Corwin and witchcraft victim Giles Cory. Corwin is buried in the cellar.,The Ward House,Massachusetts,MA,-70.8916371,42.5229394,-70.8967155,42.51954,False,False,2025/01/01,0,Unknown,Ghost (Male),Supernatural,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0,11.83,is_haunted_by_the_ghosts_of_the_evil_Sheriff_Georg.png,a black and white photo of a living room .,"bookcase (0.19), crutch (0.19), bookshop, bookstore, bookstall (0.15), library (0.11), folding chair (0.03)","['PERSON', 'PERSON', 'PERSON']","['George Corwin', 'Giles Cory', 'Corwin']",CWG Ward House Historic Site,35.59393,-105.21779,"bookcase (0.19), crutch (0.19), bookshop, bookstore, bookstall (0.15), library (0.11), folding chair (0.03)"
Sandisfield,United States,"Apparition of a little girl, misplaced items would always return where you had just looked.",New Boston Inn,Massachusetts,MA,-73.077362,42.0940051,-73.1431637,42.1125914,False,False,0101/03/13,0,Unknown,Ghost (Male),Supernatural,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0,11.83,Apparition_of_a_little_girl__misplaced_items_would.png,a black and white photo of a man and a woman,"cloak (0.54), saltshaker, salt shaker (0.06), hoopskirt, crinoline (0.04), breastplate, aegis, egis (0.03), overskirt (0.02)",,,,,,"cloak (0.54), saltshaker, salt shaker (0.06), hoopskirt, crinoline (0.04), breastplate, aegis, egis (0.03), overskirt (0.02)"
Sandwich,United States,A large ship with giant sails was drifting out near Cape Cod Canal. As the ship was sailing the sails looked old and torn. The ship sailed off into the fog and seemed to disappear.,Near Cape Cod Canal,Massachusetts,MA,-70.5661411,41.7681612,-70.49393169999999,41.7589615,False,True,2025/01/01,0,Unknown,Unknown (Male),Unknown,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0,11.83,A_large_ship_with_giant_sails_was_drifting_out_nea.png,a man standing on top of a boat in the ocean .,"schooner (0.94), pirate, pirate ship (0.02)",['FAC'],['Cape Cod Canal'],Cape Cod Airfield,41.68531,-70.40665,"schooner (0.94), pirate, pirate ship (0.02)"
Savoy,United States,this is a camp that may have been up in the 1980's and is haunted by 6 little girls and a crazy women the story is that a camp consular went crazy and hung 3 girls in a barn on the property and drowned 3 more in a tub then she went and killed herself not sure how but she did and if u go to this area in the Windsor state forest you will see things and hear things that will make you believe in ghosts or the paranormal.,Windigo,Massachusetts,MA,-72.998316,42.5295225,-73.0287112,42.5667512,True,True,2025/01/01,0,Unknown,Ghost (Male),Murder,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0,11.83,this_is_a_camp_that_may_have_been_up_in_the_1980_s.png,a black and white photo of a barn and a barn,"barn (0.87), boathouse (0.03)","['DATE', 'CARDINAL', 'CARDINAL', 'CARDINAL', 'LOC']","['1980', '6', '3', '3', 'Windsor']",Windsor County,43.58,-72.58624,"barn (0.87), boathouse (0.03)"
Scituate,United States,"The Mill is located right next to Hunter's Pond. It is reported that a little bloody girl sits looking out the windows, and stares at you as you walk by. There have also been reports of screams and cries coming from the Mill as you hear the sound of a jammed saw and a young child screaming and crying for help.",Lincoln Mill,Massachusetts,MA,,,-70.7258633,42.195929,True,True,2025/03/07,1,Unknown,Unknown (Male),Unknown,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0,11.83,The_Mill_is_located_right_next_to_Hunter_s_Pond__I.png,a boat floating on a river next to a forest .,"boathouse (0.74), barn (0.15)","['PERSON', 'PERSON', 'PERSON']","['Mill', 'Hunter', 'Mill']",Lincoln,47.82905,-118.41499,"boathouse (0.74), barn (0.15)"
Scituate,United States,"haunted by lighthouse keepers after original lighthouse was destroyed by a storm, while main light house keeper stood on share & watched after going for provisions.",Minot Lighthouse,Massachusetts,MA,-70.7591154,42.2697165,-70.7258633,42.195929,False,False,2025/01/01,0,Unknown,Ghost (Male),Supernatural,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0,11.83,haunted_by_lighthouse_keepers_after_original_light.png,a white and black clock tower sitting in front of a building .,"beacon, lighthouse, beacon light, pharos (0.97)",,,,,,"beacon, lighthouse, beacon light, pharos (0.97)"
Scituate,United States,in the spring a ghost ship is seen. It starts out robust and luxurious but right before your eyes it's sails become all torn.,Near First Cliff,Massachusetts,MA,-70.7161516,42.1995458,-70.7258633,42.195929,False,True,2025/01/01,1,Unknown,Ghost (Male),Supernatural,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0,11.83,in_the_spring_a_ghost_ship_is_seen__It_starts_out.png,a picture of a fire hydrant in the snow .,"wreck (0.53), paintbrush (0.18), pirate, pirate ship (0.07), broom (0.05), birdhouse (0.02)",['DATE'],['the spring'],,,,"wreck (0.53), paintbrush (0.18), pirate, pirate ship (0.07), broom (0.05), birdhouse (0.02)"
Seekonk,United States,There is a ghost that haunts that swimming pool every Friday night of June. This ghost utters eerie things.,Seekonk High school,Massachusetts,MA,-71.33270519999999,41.8357527,-71.3369972,41.808434,False,False,2025/03/14,0,Night,Ghost (Male),Supernatural,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0,11.83,There_is_a_ghost_that_haunts_that_swimming_pool_ev.png,a picture of a clock on the side of a building .,"pool table, billiard table, snooker table (0.33), tub, vat (0.07), monitor (0.06), laptop, laptop computer (0.06), cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM (0.04)",['DATE'],['June'],,,,"pool table, billiard table, snooker table (0.33), tub, vat (0.07), monitor (0.06), laptop, laptop computer (0.06), cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM (0.04)"
Shrewsbury,United States,objects thrown by invisible forces. sightings of former residents voices and lights flickering have all been reported by both employees and residents,Southgate Retirement community,Massachusetts,MA,-71.70358999999999,42.291989,-71.71284709999999,42.2959267,True,False,2025/01/01,2,Unknown,Other,Unknown,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0,11.83,objects_thrown_by_invisible_forces__sightings_of_f.png,a black and white photo of a bathroom,"sliding door (0.10), bannister, banister, balustrade, balusters, handrail (0.07), lumbermill, sawmill (0.07), fire screen, fireguard (0.06), vault (0.03)",,,Retirement,18.43742,-77.88004,"sliding door (0.10), bannister, banister, balustrade, balusters, handrail (0.07), lumbermill, sawmill (0.07), fire screen, fireguard (0.06), vault (0.03)"
Montebello,United States,"Anytime of the day or night, you can hear footsteps and voices coming from the hallways and men's restroom. Many employees claim when they are working at the office late into the evening, they hear voices and footsteps, the problem is that they are the only ones at the office. Park Rangers have reported hearing voices coming from the men's restroom. The source of the haunting has not been determined, but two parks and recreation employees have passed away in the last 10 years. The office was once home to a doctors office. Do not attempt to trespass, you will be arrested.",Montebello Parks and Recreation Office,California,CA,-118.1154682,34.0207615,-118.1137535,34.0165053,True,False,2025/01/01,4,Evening,"Ghost (Male, doctor)",Death,"15,443",24.4,5.04,16.6%,5.5,7.7,1.6,3.7,40.0%,69.1%,64.4%,35.6%,86.1%,2.49%,376899.0,35.011,47.264,3.29,181495.2857142857,2121.0714285714284,1091981.142857143,118.0,103.0,Above Average,338.0,87.0,51.0,105.0,57.0,30.0,9.0,11.83,Anytime_of_the_day_or_night__you_can_hear_footstep.png,a bathroom with a shower and a toilet .,"sliding door (0.73), wardrobe, closet, press (0.07), doormat, welcome mat (0.05), safe (0.04)","['PERSON', 'CARDINAL', 'DATE']","['Park Rangers', 'two', 'the last 10 years']",,,,"sliding door (0.73), wardrobe, closet, press (0.07), doormat, welcome mat (0.05), safe (0.04)"
Montebello,United States,Whittier Narrows Park - The figure of a Spanish conquistador on horseback can be seen occasionally around the intersection of San Gabriel Blvd and Lincoln Ave. It is said he drowned here looking for his gold buried near the river's beach. Mysterious fogs roll in and out here a lot as well.,Rosemead,California,CA,-118.0816847,34.0376,-118.1137535,34.0165053,False,True,2020/03/13,1,Unknown,Other (Male),Accident,"15,443",24.4,5.04,16.6%,5.5,7.7,1.6,3.7,40.0%,69.1%,64.4%,35.6%,86.1%,2.49%,376899.0,35.011,47.264,3.29,181495.2857142857,2121.0714285714284,1091981.142857143,118.0,103.0,Above Average,338.0,87.0,51.0,105.0,57.0,30.0,9.0,11.83,Whittier_Narrows_Park___The_figure_of_a_Spanish_co.png,a black and white photo of a person riding a horse,"ballplayer, baseball player (0.46), tricycle, trike, velocipede (0.07), umbrella (0.04), lakeside, lakeshore (0.02)","['GPE', 'NORP', 'FAC', 'ORG']","['Whittier', 'Spanish', 'San Gabriel Blvd', 'Lincoln Ave']",Municipio de San Gabriel,14.50664,-91.51319,"ballplayer, baseball player (0.46), tricycle, trike, velocipede (0.07), umbrella (0.04), lakeside, lakeshore (0.02)"
Montebello,United States,"The halls of this building are virtually covered by darkness for most of the time during services. Three children have been known to cross the hallways from one door to another that are completely adjacent to each other. It was once said that three children were taken into a restroom stall by their father, and each were killed by slitting their throats because their father was extremely sorrowful over the death of his wife, and murdered his children to eliminate his memory of his love.",Temple B'Nai Emet,California,CA,-118.1330326,34.0198535,-118.1137535,34.0165053,False,False,2025/01/01,0,Night,Unknown (Male),Murder,"15,443",24.4,5.04,16.6%,5.5,7.7,1.6,3.7,40.0%,69.1%,64.4%,35.6%,86.1%,2.49%,376899.0,35.011,47.264,3.29,181495.2857142857,2121.0714285714284,1091981.142857143,118.0,103.0,Above Average,338.0,87.0,51.0,105.0,57.0,30.0,9.0,11.83,The_halls_of_this_building_are_virtually_covered_b.png,a kitchen with a stove and a sink,"prison, prison house (0.95)","['CARDINAL', 'CARDINAL']","['Three', 'three']",,,,"prison, prison house (0.95)"
Monterey,United States,The Lady in Black haunts the second floor of this boarding house where famous writer Robert Luis Stevenson lodged during his stay in Monterey. The Lady in Black is supposedly the proprietor of the establishment and haunts the nursery where her grandchildren died of cholera.,Robert Luis Stevenson House,California,CA,-121.8934592,36.5973186,-121.8946761,36.6002378,False,False,2025/01/01,0,Unknown,"Unknown (Male, writer)",Death,"15,443",24.4,5.04,16.6%,5.5,7.7,1.6,3.7,40.0%,69.1%,64.4%,35.6%,86.1%,2.49%,376899.0,35.011,47.264,3.29,181495.2857142857,2121.0714285714284,1091981.142857143,118.0,103.0,Above Average,338.0,87.0,51.0,105.0,57.0,30.0,9.0,11.83,The_Lady_in_Black_haunts_the_second_floor_of_this.png,a clock tower in the middle of a city .,"prison, prison house (0.66), palace (0.22)","['GPE', 'ORDINAL', 'PERSON', 'GPE', 'GPE']","['Black', 'second', 'Robert Luis Stevenson', 'Monterey', 'Black']",,,,"prison, prison house (0.66), palace (0.22)"
Monterey County,United States,"Salinas River - Every Halloween night there is a new report of the crying woman. She is mistaken as La Llarona. Each year the kids go on dares to walk the river past the bend. One year, the kid never came back. One year the first girl ever to do it was actually helped by the ghost. She was walking too close to the edge when the ghost pushed her away. If she would have fallen it was a 50-foot drop in about 2 feet of water.",San Lucas,California,CA,-121.0204672,36.1288547,-121.3541631,36.3136201,True,False,2025/01/01,0,Night,Ghost (Male),Accident,"15,443",24.4,5.04,16.6%,5.5,7.7,1.6,3.7,40.0%,69.1%,64.4%,35.6%,86.1%,2.49%,376899.0,35.011,47.264,3.29,181495.2857142857,2121.0714285714284,1091981.142857143,118.0,103.0,Above Average,338.0,87.0,51.0,105.0,57.0,30.0,9.0,11.83,Salinas_River___Every_Halloween_night_there_is_a_n.png,a brown bear standing next to a river .,"lion, king of beasts, Panthera leo (0.25), orangutan, orang, orangutang, Pongo pygmaeus (0.05), red wolf, maned wolf, Canis rufus, Canis niger (0.05), dhole, Cuon alpinus (0.05), fox squirrel, eastern fox squirrel, Sciurus niger (0.04)","['LOC', 'PERSON', 'DATE', 'DATE', 'DATE', 'ORDINAL', 'QUANTITY', 'QUANTITY']","['Salinas River - Every Halloween', 'La Llarona', 'Each year', 'One year', 'One year', 'first', '50-foot', 'about 2 feet']",Cabo San Lucas,22.89088,-109.91238,"lion, king of beasts, Panthera leo (0.25), orangutan, orang, orangutang, Pongo pygmaeus (0.05), red wolf, maned wolf, Canis rufus, Canis niger (0.05), dhole, Cuon alpinus (0.05), fox squirrel, eastern fox squirrel, Sciurus niger (0.04)"
Moorpark,United States,"after the road dips down a small hill, if you stop and put your car in neutral at the bottom of the hill, your car will slowly drift backwards uphill! It's supposedly because ghost of children killed there in a wagon accident are pushing your car.",Gravity Hill,California,CA,,,-118.8820414,34.285558,False,False,2025/01/01,0,Unknown,Ghost (Male),Murder,"15,443",24.4,5.04,16.6%,5.5,7.7,1.6,3.7,40.0%,69.1%,64.4%,35.6%,86.1%,2.49%,376899.0,35.011,47.264,3.29,181495.2857142857,2121.0714285714284,1091981.142857143,118.0,103.0,Above Average,338.0,87.0,51.0,105.0,57.0,30.0,9.0,11.83,after_the_road_dips_down_a_small_hill__if_you_stop.png,a red fire hydrant sitting on the side of a road .,"mountain bike, all-terrain bike, off-roader (0.09), bison (0.06), viaduct (0.04), unicycle, monocycle (0.04), valley, vale (0.03)",,,,,,"mountain bike, all-terrain bike, off-roader (0.09), bison (0.06), viaduct (0.04), unicycle, monocycle (0.04), valley, vale (0.03)"
Moreno Valley,United States,"Years ago, a bus occupied with children supposedly broke down and was hit by a large diesel truck, pushing them over the freeway overpass. There were no survivors. It is now said that when a car visits this site, when shut off and put in neutral, the spirits of the deceased children will push the car UP over the overpass. This only works when going South. In addition, baby powder sprinkled/poured on the back of the vehicle will allow handprints and footprints of the children to be visible. Sometimes laughter and footsteps can be heard late at night.",Nason Street,California,CA,-117.1915375,33.9229759,-117.2296717,33.9424658,True,False,2025/01/01,1,Night,Ghost (Male),Death,"15,443",24.4,5.04,16.6%,5.5,7.7,1.6,3.7,40.0%,69.1%,64.4%,35.6%,86.1%,2.49%,376899.0,35.011,47.264,3.29,181495.2857142857,2121.0714285714284,1091981.142857143,118.0,103.0,Above Average,338.0,87.0,51.0,105.0,57.0,30.0,9.0,11.83,Years_ago__a_bus_occupied_with_children_supposedly.png,a black and white photo of a city bus,"passenger car, coach, carriage (0.67), trolleybus, trolley coach, trackless trolley (0.20), minibus (0.04), school bus (0.03)","['DATE', 'LOC', 'TIME']","['Years ago', 'South', 'late at night']",,,,"passenger car, coach, carriage (0.67), trolleybus, trolley coach, trackless trolley (0.20), minibus (0.04), school bus (0.03)"
Moreno Valley,United States,"In Moreno Valley, off of Nason, there is the old hospital. When the new hospital was built, the old one was turned into a small school for only the lower grades. The story goes that a deranged man came into the school with a gun where he took the students and teachers hostage. In the back, there is 2 sheds, one big and one small. It is said that he took his hostages here and killed many of them and then turned the gun on himself. The old school is now closed and many have been inside since. Inside, people have said they see figures of children and hear the cries.",Old Hospital/Elementary School,California,CA,-117.2367594,33.9657699,-117.2296717,33.9424658,True,True,2025/03/02,0,Unknown,"Other (Male, student)",Murder,"15,443",24.4,5.04,16.6%,5.5,7.7,1.6,3.7,40.0%,69.1%,64.4%,35.6%,86.1%,2.49%,376899.0,35.011,47.264,3.29,181495.2857142857,2121.0714285714284,1091981.142857143,118.0,103.0,Above Average,338.0,87.0,51.0,105.0,57.0,30.0,9.0,11.83,In_Moreno_Valley__off_of_Nason__there_is_the_old_h.png,a black and white photo of a city street,"mobile home, manufactured home (0.44), picket fence, paling (0.09), church, church building (0.03), park bench (0.02)","['GPE', 'ORG', 'CARDINAL', 'CARDINAL', 'CARDINAL']","['Moreno Valley', 'Nason', '2', 'one', 'one']",,,,"mobile home, manufactured home (0.44), picket fence, paling (0.09), church, church building (0.03), park bench (0.02)"
Moreno Valley,United States,"if you put your car in neutral on 'Priest Hill' the priest who had broke down on the road, he will push your car up the hill, with your foot not on the pedal. if you put flour on the back of your car, you will see the handprints.",Priest Hill,California,CA,,,-117.2296717,33.9424658,False,True,2035/03/13,0,Unknown,"Unknown (Male, priest)",Unknown,"15,443",24.4,5.04,16.6%,5.5,7.7,1.6,3.7,40.0%,69.1%,64.4%,35.6%,86.1%,2.49%,376899.0,35.011,47.264,3.29,181495.2857142857,2121.0714285714284,1091981.142857143,118.0,103.0,Above Average,338.0,87.0,51.0,105.0,57.0,30.0,9.0,11.83,if_you_put_your_car_in_neutral_on__Priest_Hill__th.png,a black and white photo of a car parked in a parking lot .,"sports car, sport car (0.14), racer, race car, racing car (0.13), car wheel (0.12), minivan (0.07), parking meter (0.06)",['PERSON'],['Hill'],Priest Hill Church,35.36988,-79.38419,"sports car, sport car (0.14), racer, race car, racing car (0.13), car wheel (0.12), minivan (0.07), parking meter (0.06)"
Morro Bay,United States,"have been reports of strange occurrences in both the ""old"" gym and ""new gym"" lights turning on and off, cold spots, etc. supposedly a young boy died while falling off the bleachers in the old gym and is said to haunt it.",Morro Bay High School,California,CA,-120.8575064,35.3822718,-120.8499924,35.3659445,False,False,2060/03/13,0,Unknown,Unknown (Male),Accident,"15,443",24.4,5.04,16.6%,5.5,7.7,1.6,3.7,40.0%,69.1%,64.4%,35.6%,86.1%,2.49%,376899.0,35.011,47.264,3.29,181495.2857142857,2121.0714285714284,1091981.142857143,118.0,103.0,Above Average,338.0,87.0,51.0,105.0,57.0,30.0,9.0,11.83,have_been_reports_of_strange_occurrences_in_both_t.png,a man standing in a kitchen next to a counter .,"turnstile (0.23), vault (0.19), library (0.10), pool table, billiard table, snooker table (0.07), prison, prison house (0.05)",,,,,,"turnstile (0.23), vault (0.19), library (0.10), pool table, billiard table, snooker table (0.07), prison, prison house (0.05)"
Morro Bay,United States,Reports of two boys playing on the pirate ship in the playground late at night.,Pirate Ship Playground,California,CA,-120.8514641,35.3595268,-120.8499924,35.3659445,False,False,2025/01/01,0,Night,Unknown (Male),Unknown,"15,443",24.4,5.04,16.6%,5.5,7.7,1.6,3.7,40.0%,69.1%,64.4%,35.6%,86.1%,2.49%,376899.0,35.011,47.264,3.29,181495.2857142857,2121.0714285714284,1091981.142857143,118.0,103.0,Above Average,338.0,87.0,51.0,105.0,57.0,30.0,9.0,11.83,Reports_of_two_boys_playing_on_the_pirate_ship_in.png,a black and white photo of a train station,"planetarium (0.94), dome (0.02)","['CARDINAL', 'TIME']","['two', 'late at night']",,,,"planetarium (0.94), dome (0.02)"
Moss Beach,United States,"Unusually shaped building is the current home of the ""Blue Lady"". Building used to be a speak- easy during the prohibition. A woman who worked at the establishment was married to a seaman, but had an affair with a piano player. When the husband returned from Alaska and found out, he then murdered her on the beach below. The Blue Lady is a friendly and mischievous spirit.",The Moss Beach Distillery,California,CA,-122.512849,37.517728,-122.5133117,37.5274401,False,False,2025/01/01,0,Unknown,Ghost (Male),Murder,"15,443",24.4,5.04,16.6%,5.5,7.7,1.6,3.7,40.0%,69.1%,64.4%,35.6%,86.1%,2.49%,376899.0,35.011,47.264,3.29,181495.2857142857,2121.0714285714284,1091981.142857143,118.0,103.0,Above Average,338.0,87.0,51.0,105.0,57.0,30.0,9.0,11.83,Unusually_shaped_building_is_the_current_home_of_t.png,a couple of boats that are sitting in the water .,"paddlewheel, paddle wheel (0.97)","['PRODUCT', 'GPE', 'PERSON']","['the ""Blue Lady', 'Alaska', 'The Blue Lady']",Alaska,64.00028,-150.00028,"paddlewheel, paddle wheel (0.97)"
